consequent,antecedent,abs_support,%_support,confidence,lift
notExplicit,"('highDanceability', 'veryLowLiveness')",3787,25.246666666666666,0.93668068266139,1.0011550691122169
notExplicit,"('veryUnpopular', 'veryLowAcousticness', 'veryLowSpeechiness')",3398,22.653333333333332,0.9363461008542299,1.0007974570908826
notExplicit,"('veryLowAcousticness', 'veryLowSpeechiness')",6881,45.873333333333335,0.9345375526280049,0.9988644213638359
notExplicit,"('highDanceability',)",5373,35.82,0.9344347826086956,0.9987545773927914
Major,"('veryLongDuration', 'veryLowSpeechiness')",4639,30.92666666666667,0.739754425131558,0.9986784607122103
notExplicit,"('veryLowInstrumentalness', 'veryLowLiveness')",3273,21.82,0.9340753424657534,0.9983703959659613
veryLowSpeechiness,"('highDanceability', 'Major')",3722,24.813333333333336,0.9051556420233463,0.9980398875588206
Major,"('veryLongDuration', 'veryLowSpeechiness', 'notExplicit')",4465,29.76666666666667,0.7392384105960265,0.997981834122977
veryLowSpeechiness,"('veryUnpopular', 'veryLowAcousticness')",3629,24.193333333333335,0.9049875311720699,0.9978545256969309
veryLowSpeechiness,"('highDanceability', 'veryLowLiveness')",3657,24.38,0.9045263418253772,0.9973460105395956
Major,"('veryLongDuration', 'notExplicit')",4683,31.22,0.738760056791292,0.9973360500287445
notExplicit,"('veryLowAcousticness', 'Major', 'veryLowSpeechiness')",4946,32.97333333333333,0.9330315034899076,0.9972547065945998
veryLowSpeechiness,"('veryUnpopular', 'Major')",4154,27.69333333333333,0.9044197692140213,0.9972285017796472
Major,"('veryLongDuration',)",4888,32.586666666666666,0.7384801329505968,0.9969581490647963
notExplicit,"('veryLowInstrumentalness', 'Major')",3925,26.166666666666664,0.9323040380047506,0.996477167598066
veryLowSpeechiness,"('longDuration', 'Major')",3112,20.746666666666666,0.9033381712626996,0.9960359136239704
notExplicit,"('veryUnpopular', 'Major')",4280,28.53333333333333,0.9318528195079469,0.9959948904531284
Major,"('veryLowLiveness',)",7248,48.32,0.7375597842678335,0.9957156659182345
notExplicit,"('highDanceability', 'veryLowAcousticness')",2953,19.686666666666667,0.9300787401574803,0.994098696192262
notExplicit,"('veryHighEnergy', 'veryLowSpeechiness')",4861,32.406666666666666,0.9299789554237612,0.9939920429924768
notExplicit,"('veryUnpopular',)",5926,39.50666666666667,0.928985734441135,0.9929304557942871
Major,"('veryLongDuration', 'veryLowLiveness', 'veryLowSpeechiness', 'notExplicit')",3010,20.066666666666666,0.7352222765021983,0.9925599988779565
Major,"('veryLongDuration', 'veryLowLiveness', 'veryLowSpeechiness')",3096,20.64,0.7343453510436433,0.9913761376702951
veryLowSpeechiness,"('veryUnpopular',)",5733,38.22,0.8987302084966295,0.9909550961077215
